1 X X # 2 X X # 0 X X # 3 X X # 2 X X	start	1 X X # 2 X X # 0 X X # 3 X X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	one	1 X X # 3 X X # 3 X X # 1 X X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 X X # 3 X X # 1 X X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 X X # 3 X X # 1 X X # 2 0 X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 3 X # 3 3 X # 3 3 X # 1 3 X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 3 X # 3 3 X # 1 3 X # 2 3 X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 3 X # 3 3 X # 3 3 X # 1 3 X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 3 X # 3 3 X # 1 3 X # 2 3 X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 2 X # 3 X X # 3 X X # 1 X X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 2 X # 3 X X # 3 X X # 1 X X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 X X # 3 X X # 1 X X # 2 2 X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 X X # 3 X X # 1 X X # 2 3 X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 X X # 3 X X # 1 X X # 2 3 X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 1 X # 3 1 X # 3 1 X # 1 1 X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 X X # 3 X X # 1 X X # 2 1 X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 1 X # 3 X X # 3 X X # 1 X X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 1 X # 3 X X # 3 X X # 1 X X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 1 X # 3 X X # 3 X X # 1 X X # 2 X X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 X X # 3 X X # 1 X X # 2 1 X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 X X # 3 X X # 1 X X # 2 1 X
1 X X # 3 X X # 3 X X # 1 X X # 2 X X	two	1 X X # 3 X X # 3 X X # 1 X X # 2 1 X
