1 X X # 0 X X # 2 X X # 3 X X # 3 X X	pig	1 X X # 0 X X # 2 2 X # 3 X X # 3 X X
1 X X # 0 X X # 2 2 X # 3 X X # 3 X X	chicken	1 X X # 0 X X # 2 2 2 # 3 X X # 3 X X
1 X X # 0 X X # 2 2 X # 3 X X # 3 X X	chicken	1 X X # 0 X X # 2 2 2 # 3 X X # 3 X X
1 X X # 0 X X # 2 2 X # 3 X X # 3 X X	farm	1 X X # 0 X X # 2 2 2 # 3 X X # 3 X X
3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 X X	ball	3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 X
3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 X	bat	3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 2
3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 X	bat	3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 2
3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 X	bat	3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 2
3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 X	bat	3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 2
3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 X	bat	3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 2
3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 X	bat	3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 2
3 X X # 0 X X # 0 X X # 1 X X # 1 X X # 2 2 X	bat	3 2 X # 0 2 X # 0 2 X # 1 2 X # 1 2 X # 2 2 X
3 X X # 2 X X # 3 X X # 1 X X # 3 X X	bat	3 X X # 2 2 X # 3 X X # 1 X X # 3 X X
3 X X # 2 2 X # 3 X X # 1 X X # 3 X X	bat	3 X X # 2 2 2 # 3 X X # 1 X X # 3 X X
3 X X # 2 2 X # 3 X X # 1 X X # 3 X X	bat	3 2 X # 2 2 X # 3 2 X # 1 2 X # 3 2 X
3 X X # 2 2 X # 3 X X # 1 X X # 3 X X	bat	3 X X # 2 2 2 # 3 X X # 1 X X # 3 X X
3 X X # 2 2 X # 3 X X # 1 X X # 3 X X	put	3 X X # 2 2 2 # 3 X X # 1 X X # 3 X X
1 X X # 3 X X # 3 X X # 0 X X # 3 X X	put	1 X X # 3 X X # 3 X X # 0 X X # 3 X X
1 X X # 3 X X # 3 X X # 0 X X # 3 X X	run	1 X X # 3 X X # 3 X X # 0 X X # 3 X X
2 X X # 2 X X # 3 X X # 2 X X	run	2 2 X # 2 2 X # 3 X X # 2 2 X
2 2 X # 2 2 X # 3 X X # 2 2 X	put	2 2 2 # 2 2 2 # 3 X X # 2 2 2
2 2 X # 2 2 X # 3 X X # 2 2 X	put	2 2 2 # 2 2 2 # 3 X X # 2 2 2
2 2 X # 2 2 X # 3 X X # 2 2 X	put	2 2 2 # 2 2 2 # 3 X X # 2 2 2
2 2 X # 2 2 X # 3 X X # 2 2 X	run	2 2 2 # 2 2 2 # 3 X X # 2 2 2
2 2 X # 2 2 X # 3 X X # 2 2 X	run	2 2 2 # 2 2 2 # 3 X X # 2 2 2
2 X X # 2 X X # 3 X X # 2 X X	put	2 2 X # 2 2 X # 3 X X # 2 2 X
