1 X X # 3 X X # 2 X X # 0 X X # 0 X X	move3	X X X # 3 X X # 2 X X # 0 X X # 0 X X
1 X X # 3 X X # 2 X X # 3 X X # 2 X X # 3 X X	move 1	X X X # 3 X X # 2 X X # 3 X X # 2 X X # 3 X X
3 X X # 0 X X # 0 X X # 3 X X # 2 X X	move 1	3 X X # X X X # X X X # 3 X X # 2 X X
2 X X # 2 X X # 1 X X # 2 X X # 3 X X	move 1	2 X X # 2 X X # X X X # 2 X X # 3 X X
1 X X # 1 X X # 0 X X # 2 X X # 1 X X	move 1	1 X X # 1 X X # X X X # 2 X X # 1 X X
1 X X # 3 X X # 1 X X # 1 X X # 3 X X	move 1	1 X X # X X X # 1 X X # 1 X X # X X X
0 X X # 1 X X # 2 X X # 2 X X # 1 X X # 2 X X	move 1	X X X # 1 X X # 2 X X # 2 X X # 1 X X # 2 X X
1 X X # 1 X X # 1 X X # 2 X X	move 1	1 X X # 1 X X # 1 X X # X X X
3 X X # 0 X X # 0 X X # 0 X X # 3 X X # 3 X X	move 1	3 3 X # 0 X X # 0 X X # 0 X X # 3 3 X # 3 3 X
0 X X # 0 X X # 1 X X # 1 X X # 0 X X # 0 X X	move 1	0 X X # 0 X X # X X X # X X X # 0 X X # 0 X X
2 X X # 2 X X # 3 X X # 3 X X # 2 X X # 3 X X	move 1	2 X X # 2 X X # 3 X X # 3 X X # 2 X X # 3 3 X
0 X X # 0 X X # 1 X X # 0 X X # 0 X X	move 1	0 X X # 0 X X # 1 X X # 0 X X # 0 1 X
1 X X # 1 X X # 0 X X # 0 X X # 0 X X	move 1	1 X X # 1 X X # 0 0 X # 0 0 X # 0 0 X
1 X X # 1 X X # 1 X X # 1 X X # 1 X X # 2 X X	move 1	X X X # 1 X X # 1 X X # 1 X X # 1 X X # 2 X X
1 X X # 0 X X # 0 X X # 0 X X	move 1	1 X X # 0 X X # 0 X X # 0 1 X
1 X X # 1 X X # 1 X X # 1 X X # 1 X X # 0 X X	move 1	1 X X # 1 X X # 1 X X # 1 X X # 1 X X # X X X
2 X X # 1 X X # 2 X X # 2 X X # 1 X X	move 1	2 X X # 1 2 X # 2 X X # 2 X X # 1 2 X
0 0 X # 3 3 X # 0 0 X	move 1	0 X X # 3 3 X # 0 X X
1 0 X # 0 1 X # 1 0 X # 0 1 X	move 1	1 0 2 # 0 1 X # 1 0 2 # 0 1 X
0 0 X # 0 3 X # 0 0 X	move 1	0 0 3 # 0 3 X # 0 0 3
0 0 X # 2 2 X # 0 0 X # 2 2 X # 0 0 X	move 1	0 X X # 2 2 X # 0 X X # 2 2 X # 0 X X
0 0 X # 2 2 X # 0 0 X # 2 2 X # 0 0 X	move 1	0 0 X # 2 X X # 0 0 X # 2 X X # 0 0 X
2 2 X # 1 1 X # 2 2 X # 1 1 X # 2 2 X	move 1	2 2 X # 1 1 0 # 2 2 X # 1 1 0 # 2 2 X
2 2 X # 2 0 X # 2 2 X # 2 0 X # 2 2 X # 2 0 X	move 1	2 X X # 2 0 X # 2 X X # 2 0 X # 2 X X # 2 0 X
2 2 X # 2 1 X # 2 2 X # 2 1 X # 2 2 X # 2 1 X	move 1	2 2 2 # 2 1 X # 2 2 2 # 2 1 X # 2 2 2 # 2 1 X
3 3 X # 3 2 X # 3 3 X # 3 2 X # 3 3 X # 3 2 X	move 1	3 3 2 # 3 2 X # 3 3 2 # 3 2 X # 3 3 2 # 3 2 X
2 2 X # 2 1 X # 2 2 X	move 1	2 2 2 # 2 1 X # 2 2 2
2 2 X # 2 1 X # 2 2 X	move 1	2 2 X # 2 X X # 2 2 X
2 2 X # 2 X X # 2 2 X	move 1	2 2 X # 2 2 X # 2 2 2
2 2 X # 2 X X # 2 2 X	move 1	2 2 X # 2 2 X # 2 2 2
2 2 X # 2 X X # 2 2 X	move 1	2 2 2 # 2 2 X # 2 2 2
1 3 X # 3 1 X # 1 3 X # 3 1 X	move 1	1 3 X # 3 1 0 # 1 3 X # 3 1 0
1 3 X # 3 1 0 # 1 3 X # 3 1 0	move 1	1 3 X # 3 1 0 # 1 3 X # 3 1 0
1 3 X # 3 1 0 # 1 3 X # 3 1 0	move 1	1 3 3 # 3 1 0 # 1 3 X # 3 1 0
0 3 X # 3 0 X # 0 3 X # 3 0 X	move 1	0 3 X # 3 0 2 # 0 3 X # 3 0 2
0 3 X # 3 0 X # 0 3 X # 3 0 X	move 1	0 X X # 3 X X # 0 X X # 3 X X
0 3 X # 3 0 X # 0 3 X # 3 0 X	move 1	0 3 X # 3 0 2 # 0 3 X # 3 0 2
0 3 X # 3 0 2 # 0 3 X # 3 0 2	move	0 3 X # 3 0 2 # 0 3 X # 3 0 2
0 3 X # 3 0 2 # 0 3 X # 3 0 2	move	0 3 X # 3 0 2 # 0 3 X # 3 0 2
0 3 X # 3 0 2 # 0 3 X # 3 0 2	move	0 X X # 3 0 2 # 0 X X # 3 0 2
0 3 X # 3 0 2 # 0 3 X # 3 0 2	move	0 X X # 3 0 2 # 0 X X # 3 0 2
0 3 X # 3 0 2 # 0 3 X # 3 0 2	move	0 X X # 3 0 2 # 0 X X # 3 0 2
0 3 X # 3 0 2 # 0 3 X # 3 0 2	move	0 X X # 3 0 2 # 0 X X # 3 0 2
0 3 X # 3 0 2 # 0 3 X # 3 0 2	move	0 X X # 3 0 2 # 0 X X # 3 0 2
0 3 X # 3 0 2 # 0 3 X # 3 0 2	move	0 3 X # 3 0 2 # 0 3 X # 3 0 2
0 3 X # 3 0 2 # 0 3 X # 3 0 2	move	0 3 X # 3 0 X # 0 3 X # 3 0 X
