0 X X # 0 X X # 0 X X # 2 X X # 3 X X	the	0 X X # 0 X X # 0 X X # 2 X X # 3 3 X
0 X X # 0 X X # 0 X X # 2 X X # 3 3 X	what?	0 3 X # 0 3 X # 0 3 X # 2 X X # 3 3 X
0 X X # 0 X X # 0 X X # 2 X X # 3 3 X	what?	0 3 X # 0 3 X # 0 3 X # 2 3 X # 3 3 X
0 X X # 0 X X # 0 X X # 2 X X # 3 3 X	what?	0 3 X # 0 3 X # 0 3 X # 2 3 X # 3 3 X
0 X X # 0 X X # 0 X X # 2 X X # 3 3 X	what?	0 3 X # 0 3 X # 0 3 X # 2 3 X # 3 3 X
0 X X # 3 X X # 3 X X # 2 X X # 3 X X # 0 X X	avan	0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 2 # 3 0 2 # 3 0 2 # 2 0 2 # 3 0 2 # 0 0 2
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 2 # 3 0 2 # 3 0 2 # 2 0 2 # 3 0 2 # 0 0 2
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 2 # 3 0 2 # 3 0 2 # 2 0 2 # 3 0 2 # 0 0 2
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 2 # 3 0 2 # 3 0 2 # 2 0 2 # 3 0 2 # 0 0 2
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 2 # 3 0 2 # 3 0 2 # 2 0 2 # 3 0 2 # 0 0 2
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 1 # 3 0 1 # 3 0 1 # 2 0 1 # 3 0 1 # 0 0 1
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 1 # 3 0 1 # 3 0 1 # 2 0 1 # 3 0 1 # 0 0 1
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 1 # 3 0 1 # 3 0 1 # 2 0 1 # 3 0 1 # 0 0 1
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 1 # 3 0 1 # 3 0 1 # 2 0 1 # 3 0 1 # 0 0 1
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 X X # 3 X X # 3 X X # 2 X X # 3 X X # 0 X X
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 0 # 3 0 0 # 3 0 0 # 2 0 0 # 3 0 0 # 0 0 X
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 0
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 X # 3 0 0 # 3 0 0 # 2 0 0 # 3 0 0 # 0 0 0
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 0 # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X
0 0 X # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X	aval	0 0 0 # 3 0 X # 3 0 X # 2 0 X # 3 0 X # 0 0 X
